kmc_run_dir,run_dir,dpn_dir,zip_path,zip_rel_path,t_start,zip_analytical,method_1_qty,method_1_window,method_2_qty,method_2_window,method_3_qty,method_3_window,method_4_qty,method_4_window,sampling_rate
kmc_runs_v2_1.1,run_54,DPN_100,kmc_runs_v2_1.1/run_54/DPN_100/zip_length.csv,kmc_runs_v2_1.1/run_54/DPN_100/zip_length.csv,0.00191665,54914.4,108.55555555555556,108,121.86666666666666,15,108.3893328377625,10762,108.63576158940397,151,298.9379369331658
kmc_runs_v2_1.1,run_54,DPN_1000,kmc_runs_v2_1.1/run_54/DPN_1000/zip_length.csv,kmc_runs_v2_1.1/run_54/DPN_1000/zip_length.csv,0.000769315,54989.36,1120.8511354079058,1189,5644.0,8,1089.0901796907647,11965,1309.9547511312217,221,166.1812616887902
kmc_runs_v2_1.1,run_54,DPN_2000,kmc_runs_v2_1.1/run_54/DPN_2000/zip_length.csv,kmc_runs_v2_1.1/run_54/DPN_2000/zip_length.csv,0.000549182,54993.5,2205.1511147811725,2422,2239.0324947589097,1908,2176.3971631205673,3666,2620.3585858585857,396,38168.66683234296
kmc_runs_v2_1.1,run_54,DPN_4000,kmc_runs_v2_1.1/run_54/DPN_4000/zip_length.csv,kmc_runs_v2_1.1/run_54/DPN_4000/zip_length.csv,0.000476242,54995.58,4317.020689655173,4785,4366.558399128778,3673,4319.029502006137,4237,5540.516194331984,494,73452.68953237428
kmc_runs_v2_1.1,run_54,DPN_500,kmc_runs_v2_1.1/run_54/DPN_500/zip_length.csv,kmc_runs_v2_1.1/run_54/DPN_500/zip_length.csv,0.000774682,54981.01,565.7012750455374,549,636.5396825396825,126,543.8210441605472,9941,641.3716216216217,148,2529.504164341809
kmc_runs_v2_1.1,run_55,DPN_100,kmc_runs_v2_1.1/run_55/DPN_100/zip_length.csv,kmc_runs_v2_1.1/run_55/DPN_100/zip_length.csv,0.000475837,32342.26,111.6860866232273,2609,341.3170731707317,41,108.09607486703023,29706,200.58035714285714,112,825.1542757330376
kmc_runs_v2_1.1,run_55,DPN_1000,kmc_runs_v2_1.1/run_55/DPN_1000/zip_length.csv,kmc_runs_v2_1.1/run_55/DPN_1000/zip_length.csv,0.000128756,32360.81,1114.6935098008953,25916,1147.114607351146,14746,1224.0751879699249,7315,4524.339055793991,233,294915.4548121467
kmc_runs_v2_1.1,run_55,DPN_2000,kmc_runs_v2_1.1/run_55/DPN_2000/zip_length.csv,kmc_runs_v2_1.1/run_55/DPN_2000/zip_length.csv,0.000203337,32361.87,2175.6681612631255,52188,43007.828571428574,35,2181.415176001112,50369,5756.370544090057,1066,699.5690475344821
kmc_runs_v2_1.1,run_55,DPN_4000,kmc_runs_v2_1.1/run_55/DPN_4000/zip_length.csv,kmc_runs_v2_1.1/run_55/DPN_4000/zip_length.csv,0.000188227,32362.37,4137.094578523959,100065,4172.4501059044715,84038,7736.289591692235,4237,13814.647411852964,1333,1680764.1225214645
kmc_runs_v2_1.1,run_55,DPN_500,kmc_runs_v2_1.1/run_55/DPN_500/zip_length.csv,kmc_runs_v2_1.1/run_55/DPN_500/zip_length.csv,0.000342957,32358.76,563.0350622565121,13091,4670.0,35,546.2709929035241,49743,1284.1309192200556,359,690.8726717971692
kmc_runs_v2_1.1,run_56,DPN_100,kmc_runs_v2_1.1/run_56/DPN_100/zip_length.csv,kmc_runs_v2_1.1/run_56/DPN_100/zip_length.csv,0.00828514,331919.3,142.52727272727273,55,258.85714285714283,14,108.23507165605096,10048,148.25531914893617,47,279.1211399358669
kmc_runs_v2_1.1,run_56,DPN_1000,kmc_runs_v2_1.1/run_56/DPN_1000/zip_length.csv,kmc_runs_v2_1.1/run_56/DPN_1000/zip_length.csv,0.00237613,332369.02,1354.9402390438247,502,9414.75,8,1105.825871559633,10900,1936.1645569620252,158,151.38706577583423
kmc_runs_v2_1.1,run_56,DPN_2000,kmc_runs_v2_1.1/run_56/DPN_2000/zip_length.csv,kmc_runs_v2_1.1/run_56/DPN_2000/zip_length.csv,0.000571175,332393.96,2868.204715969989,933,3167.99,600,2251.3363493312354,7626,3214.5883392226146,566,12000.59256242349
